,Aare-2-000003,Aha-2-000001,Alsp-2-000002,Aru-a02-002015,Aru-b02-000006,Asu-1-005099,Asu-7-000002,Ath-1-005393,Bdiv-1-001742,Bst-1-003188,,Cen-14-002794,Cfle-7-002488,Chivh-2-006206,Cla-5-02337,Cne-2-005372,Cpl-481-000002,Crub-2-000001,Csa-9-004813,,Csa-16-004146,Eche-4-000017,Esal-2-003258,Iind-1-003667,Mpe-14-000712,,Spar-2-000001,,,,
Aara-2-000160,.,Aha-2-000002,Alsp-2-000003,Aru-a02-002014,Aru-b02-000007,Asu-1-005098,Asu-7-000003,Ath-1-005392,Bdiv-1-001743,Bst-1-003187,Cen-6-000001,Cen-14-002793,Cfle-7-002487,Chivh-2-006205,Cla-5-02336,Cne-2-005371,.,Crub-2-000002,Csa-9-004812,,Csa-16-004145,Eche-4-000016,Esal-2-003257,Iind-1-003665,Mpe-14-000710,Mpyg-6-002065,.,,,,
Aara-2-000159,Aare-2-000005,.,Alsp-2-000005,.,Aru-b02-000008,Asu-1-005097,Asu-7-000004,Ath-1-005391,Bdiv-1-001744,Bst-1-003186,Cen-6-002654,Cen-14-002792,Cfle-7-002486,Chivh-2-006204,.,Cne-2-005369,Cpl-481-000004,Crub-2-000003,Csa-9-004811,,Csa-16-004144,.,Esal-2-003255,.,Mpe-14-000709,Mpyg-6-002064,Spar-2-000003,Tar-2-003200,,,
Aara-2-000158,Aare-2-000006,Aha-2-000007,Alsp-2-000006,.,Aru-b02-000009,Asu-1-005096,Asu-7-000005,Ath-1-005390,.,.,Cen-6-002655,Cen-14-002791,.,Chivh-2-006203,Cla-5-02335,Cne-2-005368,.,Crub-2-000004,Csa-9-004810,,.,.,.,.,.,Mpyg-6-002063,.,.,,,
Aara-2-000156,.,Aha-2-000008,Alsp-2-000007,Aru-a02-002013,Aru-b02-000010,Asu-1-005095,Asu-7-000006,Ath-1-005389,Bdiv-1-001747,Bst-1-003184,Cen-6-002657,Cen-14-002790,Cfle-7-002484,Chivh-2-006202,Cla-5-02334,Cne-2-005367,.,Crub-2-000005,Csa-9-004809,,Csa-16-004143,.,.,.,.,Mpyg-6-002062,.,.,,,
Aara-2-000155,.,Aha-2-000009,.,Aru-a02-002011,Aru-b02-000011,Asu-1-005094,Asu-7-000007,Ath-1-005388,.,.,Cen-6-002658,Cen-14-002789,.,.,Cla-5-02333,Cne-2-005366,.,Crub-2-000006,Csa-9-004808,,Csa-16-004142,.,Esal-2-003254,Iind-1-003663,Mpe-14-000708,Mpyg-6-002060,.,Tar-2-003199,,,
Aara-2-000154,.,.,.,.,.,Asu-1-005093,Asu-7-000008,Ath-1-005387,.,.,.,Cen-14-002788,.,Chivh-2-006201,Cla-5-02332,Cne-2-005365,Cpl-481-000006,Crub-2-000007,Csa-9-004807,,Csa-16-004141,Eche-4-000014,.,Iind-1-003662,Mpe-14-000707,.,Spar-2-000005,.,,,
Aara-2-000152,Aare-2-000009,Aha-2-000010,Alsp-2-000009,Aru-a02-002010,Aru-b02-000012,Asu-1-005092,Asu-7-000009,Ath-1-005386,Bdiv-1-001749,.,Cen-6-002659,Cen-14-002786,Cfle-7-002480,Chivh-2-006200,Cla-5-02331,Cne-2-005364,.,Crub-2-000008,Csa-9-004806,,Csa-16-004140,Eche-4-000013,Esal-2-003249,.,Mpe-14-000706,Mpyg-6-002058,Spar-2-000006,Tar-2-003198,,,
.,Aare-2-000010,.,Alsp-2-000010,Aru-a02-002009,.,Asu-1-005091,Asu-7-000010,Ath-1-005385,Bdiv-1-001750,Bst-1-003181,Cen-6-002660,Cen-14-002785,Cfle-7-002479,Chivh-2-006199,Cla-5-02330,Cne-2-005363,Cpl-481-000008,Crub-2-000009,Csa-9-004805,,.,.,Esal-2-003248,Iind-1-003661,Mpe-14-000705,Mpyg-6-002057,Spar-2-000007,Tar-2-003197,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Crub-2-000010,.,,.,.,.,.,.,.,.,.,,,
Aara-2-000149,.,Aha-2-000012,Alsp-2-000012,Aru-a02-002007,Aru-b02-000014,Asu-1-005088,Asu-7-000012,Ath-1-005382,.,.,Cen-6-002662,Cen-14-002784,.,Chivh-2-006198,Cla-5-02329,.,.,Crub-2-000011,Csa-9-004804,,Csa-16-004139,Eche-4-000012,Esal-2-003247,Iind-1-003660,Mpe-14-000704,Mpyg-6-002054,.,Tar-2-003196,,,
Aara-2-000147,Aare-2-000012,Aha-2-000013,Alsp-2-000013,.,Aru-b02-000015,Asu-1-005087,Asu-7-000013,Ath-1-005381,.,Bst-1-003179,Cen-6-002663,Cen-14-002783,Cfle-7-002477,Chivh-2-006197,Cla-5-02328,.,Cpl-481-000012,Crub-2-000012,Csa-9-004803,Csa-7-004321,Csa-16-004138,Eche-4-000011,Esal-2-003245,Iind-1-003657,Mpe-14-000703,Mpyg-6-002052,Spar-2-000011,Tar-2-003194,,,
Aara-2-000146,Aare-2-000013,Aha-2-000018,Alsp-2-000014,Aru-a02-002006,Aru-b02-000016,Asu-1-005086,Asu-7-000014,Ath-1-005380,.,Bst-1-003178,Cen-6-002664,Cen-14-002782,Cfle-7-002475,Chivh-2-006196,Cla-5-02326,.,Cpl-481-000013,Crub-2-000013,Csa-9-004802,.,Csa-16-004137,.,Esal-2-003244,Iind-1-003655,Mpe-14-000702,Mpyg-6-002051,.,Tar-2-003193,,,
Aara-2-000144,Aare-2-000015,Aha-2-000019,Alsp-2-000016,Aru-a02-002004,Aru-b02-000017,Asu-1-005084,Asu-7-000016,Ath-1-005378,Bdiv-1-001755,Bst-1-003176,Cen-6-002666,Cen-14-002780,.,.,Cla-5-02323,Cne-2-005358,.,Crub-2-000014,Csa-9-004800,Csa-7-004319,.,.,Esal-2-003240,Iind-1-003653,Mpe-14-000699,Mpyg-6-002050,.,Tar-2-003191,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
.,Aare-2-000017,.,Alsp-2-000019,.,.,.,.,.,Bdiv-1-001757,Bst-1-003174,.,.,.,.,.,.,.,Crub-2-000016,.,.,.,.,.,.,.,.,.,.,,,
.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,,,
