ACBK1g00001,Alsp-1-000008
ACBK1g00002,Alsp-1-000007
ACBK1g00003,Alsp-1-000006
ACBK1g00004,Alsp-1-000005
ACBK1g00005,Alsp-1-000004
ACBK1g00006,Alsp-1-000003
ACBK1g00007,Alsp-1-000002
ACBK1g00008,Alsp-1-000001
ACBK1g00009,Alsp-1-000010
ACBK1g00010,Alsp-1-000011
ACBK1g00011,Alsp-1-000012
ACBK1g00012,Alsp-1-000013
ACBK1g00013,Alsp-1-000014
ACBK1g00014,Alsp-1-000015
ACBK1g00015,.
ACBK1g00016,Alsp-1-000016
ACBK1g00017,Alsp-1-000018
ACBK1g00018,.
ACBK1g00019,Alsp-1-000019
ACBK1g00020,Alsp-1-000020
ACBK1g00021,Alsp-1-000022
ACBK1g00022,Alsp-1-000023
ACBK1g00023,Alsp-1-000026
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Alsp-1-000028
ACBK1g00027,Alsp-1-000029
ACBK1g00028,Alsp-1-000030
ACBK1g00029,Alsp-1-000032
ACBK1g00030,Alsp-1-000033
ACBK1g00031,Alsp-1-000035
ACBK1g00032,Alsp-1-000036
ACBK1g00033,Alsp-1-000037
ACBK1g00034,Alsp-1-000038
ACBK1g00035,Alsp-1-000039
ACBK1g00036,Alsp-1-000040
ACBK1g00037,.
ACBK1g00038,Alsp-1-000041
ACBK1g00039,.
ACBK1g00040,Alsp-1-000044
ACBK1g00041,Alsp-1-000045
ACBK1g00042,Alsp-1-000046
ACBK1g00043,Alsp-1-000047
ACBK1g00044,Alsp-1-000048
ACBK1g00045,Alsp-1-000049
ACBK1g00046,Alsp-1-000052
ACBK1g00047,Alsp-1-000054
ACBK1g00048,.
ACBK1g00049,Alsp-1-000055
ACBK1g00050,Alsp-1-000056
ACBK1g00051,Alsp-1-000057
ACBK1g00052,Alsp-1-000058
ACBK1g00053,Alsp-1-000059
ACBK1g00054,Alsp-1-000060
ACBK1g00055,Alsp-1-000061
ACBK1g00056,Alsp-1-000062
ACBK1g00057,Alsp-1-000063
ACBK1g00058,Alsp-1-000064
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Alsp-1-000066
ACBK1g00064,Alsp-1-000069
ACBK1g00065,Alsp-1-000070
ACBK1g00066,Alsp-1-000071
ACBK1g00067,Alsp-1-000072
ACBK1g00068,Alsp-1-000074
ACBK1g00069,Alsp-1-000075
ACBK1g00070,Alsp-1-000076
ACBK1g00071,Alsp-1-000077
ACBK1g00072,Alsp-1-000078
ACBK1g00073,Alsp-1-000079
ACBK1g00074,Alsp-1-000080
ACBK1g00075,.
ACBK1g00076,Alsp-1-000082
ACBK1g00077,Alsp-1-000083
ACBK1g00078,Alsp-1-000084
ACBK1g00079,Alsp-1-000085
ACBK1g00080,Alsp-1-000086
ACBK1g00081,Alsp-1-000090
ACBK1g00082,Alsp-1-000091
ACBK1g00083,Alsp-1-000092
ACBK1g00084,Alsp-1-000093
ACBK1g00085,Alsp-1-000095
ACBK1g00086,Alsp-1-000096
ACBK1g00087,Alsp-1-000098
ACBK1g00088,Alsp-1-000099
ACBK1g00089,Alsp-1-000101
ACBK1g00090,Alsp-1-000102
ACBK1g00091,Alsp-1-000103
ACBK1g00092,Alsp-1-000104
ACBK1g00093,Alsp-1-000105
ACBK1g00094,Alsp-1-000106
ACBK1g00095,Alsp-1-000107
ACBK1g00096,Alsp-1-000109
ACBK1g00097,Alsp-1-000112
ACBK1g00098,Alsp-1-000113
ACBK1g00099,.
ACBK1g00100,Alsp-1-000114
ACBK1g00101,Alsp-1-000115
ACBK1g00102,Alsp-1-000116
ACBK1g00103,Alsp-1-000117
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Alsp-1-000118
ACBK1g00107,Alsp-1-000120
ACBK1g00108,Alsp-1-000121
ACBK1g00109,Alsp-1-000122
ACBK1g00110,Alsp-1-000123
ACBK1g00111,Alsp-1-000124
ACBK1g00112,Alsp-1-000125
ACBK1g00113,Alsp-1-000126
ACBK1g00114,Alsp-1-000127
ACBK1g00115,Alsp-1-000128
ACBK1g00116,Alsp-1-000129
ACBK1g00117,Alsp-1-000130
ACBK1g00118,Alsp-1-000131
ACBK1g00119,Alsp-1-000132
ACBK1g00120,Alsp-1-000134
ACBK1g00121,.
ACBK1g00122,Alsp-1-000135
ACBK1g00123,Alsp-1-000137
ACBK1g00124,Alsp-1-000138
ACBK1g00125,.
ACBK1g00126,.
ACBK1g00127,Alsp-1-000139
ACBK1g00128,Alsp-1-000140
ACBK1g00129,.
ACBK1g00130,Alsp-1-000141
ACBK1g00131,Alsp-1-000143
ACBK1g00132,.
ACBK1g00133,Alsp-1-000145
ACBK1g00134,Alsp-1-000146
ACBK1g00135,.
ACBK1g00136,Alsp-1-000147
ACBK1g00137,Alsp-1-000148
ACBK1g00138,Alsp-1-000149
ACBK1g00139,Alsp-1-000150
ACBK1g00140,.
ACBK1g00141,Alsp-1-000151
ACBK1g00142,.
ACBK1g00143,Alsp-1-000153
ACBK1g00144,Alsp-1-000154
ACBK1g00145,Alsp-1-000155
ACBK1g00146,.
ACBK1g00147,Alsp-1-000157
ACBK1g00148,Alsp-1-000158
ACBK1g00149,Alsp-1-000159
ACBK1g00150,Alsp-1-000161
ACBK1g00151,Alsp-1-000162
ACBK1g00152,Alsp-1-000163
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,Alsp-1-000165
ACBK1g00156,Alsp-1-000166
ACBK1g00157,Alsp-1-000167
ACBK1g00158,Alsp-1-000169
ACBK1g00159,Alsp-1-000170
ACBK1g00160,Alsp-1-000171
ACBK1g00161,.
ACBK1g00162,Alsp-1-000173
ACBK1g00163,Alsp-1-000174
ACBK1g00164,Alsp-1-000175
ACBK1g00165,Alsp-1-000176
ACBK1g00166,.
ACBK1g00167,Alsp-1-000177
ACBK1g00168,Alsp-1-000178
ACBK1g00169,Alsp-1-000179
ACBK1g00170,Alsp-1-000180
ACBK1g00171,Alsp-1-000181
ACBK1g00172,Alsp-1-000182
ACBK1g00173,.
ACBK1g00174,Alsp-1-000184
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Alsp-1-000185
ACBK1g00178,Alsp-1-000186
ACBK1g00179,.
ACBK1g00180,Alsp-1-000187
ACBK1g00181,Alsp-1-000188
ACBK1g00182,Alsp-1-000189
ACBK1g00183,Alsp-1-000190
