ACBK1g00001,Ath-1-000118
ACBK1g00002,Ath-1-000119
ACBK1g00003,Ath-1-000120
ACBK1g00004,Ath-1-000121
ACBK1g00005,Ath-1-000122
ACBK1g00006,Ath-1-000123
ACBK1g00007,Ath-1-000124
ACBK1g00008,Ath-1-000125
ACBK1g00009,Ath-1-000117
ACBK1g00010,Ath-1-000116
ACBK1g00011,Ath-1-000115
ACBK1g00012,Ath-1-000114
ACBK1g00013,Ath-1-000113
ACBK1g00014,.
ACBK1g00015,Ath-1-000112
ACBK1g00016,Ath-1-000111
ACBK1g00017,Ath-1-000110
ACBK1g00018,Ath-1-000109
ACBK1g00019,Ath-1-000108
ACBK1g00020,Ath-1-000107
ACBK1g00021,Ath-1-000105
ACBK1g00022,Ath-1-000104
ACBK1g00023,Ath-1-000102
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Ath-1-000101
ACBK1g00027,Ath-1-000100
ACBK1g00028,Ath-1-000099
ACBK1g00029,Ath-1-000097
ACBK1g00030,Ath-1-000096
ACBK1g00031,Ath-1-000094
ACBK1g00032,Ath-1-000093
ACBK1g00033,Ath-1-000092
ACBK1g00034,Ath-1-000091
ACBK1g00035,Ath-1-000090
ACBK1g00036,Ath-1-000089
ACBK1g00037,.
ACBK1g00038,Ath-1-000088
ACBK1g00039,.
ACBK1g00040,Ath-1-000085
ACBK1g00041,Ath-1-000084
ACBK1g00042,Ath-1-000083
ACBK1g00043,Ath-1-000082
ACBK1g00044,Ath-1-000081
ACBK1g00045,Ath-1-000080
ACBK1g00046,Ath-1-000077
ACBK1g00047,Ath-1-000075
ACBK1g00048,Ath-1-000074
ACBK1g00049,Ath-1-000073
ACBK1g00050,Ath-1-000072
ACBK1g00051,Ath-1-000071
ACBK1g00052,Ath-1-000070
ACBK1g00053,Ath-1-000069
ACBK1g00054,Ath-1-000068
ACBK1g00055,Ath-1-000067
ACBK1g00056,Ath-1-000066
ACBK1g00057,Ath-1-000065
ACBK1g00058,Ath-1-000064
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Ath-1-000062
ACBK1g00064,Ath-1-000060
ACBK1g00065,Ath-1-000059
ACBK1g00066,Ath-1-000058
ACBK1g00067,Ath-1-000057
ACBK1g00068,Ath-1-000056
ACBK1g00069,Ath-1-000055
ACBK1g00070,Ath-1-000054
ACBK1g00071,Ath-1-000053
ACBK1g00072,Ath-1-000052
ACBK1g00073,Ath-1-000051
ACBK1g00074,Ath-1-000050
ACBK1g00075,.
ACBK1g00076,Ath-1-000049
ACBK1g00077,Ath-1-000048
ACBK1g00078,Ath-1-000047
ACBK1g00079,Ath-1-000046
ACBK1g00080,Ath-1-000045
ACBK1g00081,Ath-1-000041
ACBK1g00082,Ath-1-000040
ACBK1g00083,Ath-1-000039
ACBK1g00084,Ath-1-000038
ACBK1g00085,Ath-1-000036
ACBK1g00086,Ath-1-000035
ACBK1g00087,Ath-1-000033
ACBK1g00088,Ath-1-000032
ACBK1g00089,Ath-1-000030
ACBK1g00090,Ath-1-000029
ACBK1g00091,Ath-1-000028
ACBK1g00092,Ath-1-000027
ACBK1g00093,Ath-1-000026
ACBK1g00094,Ath-1-000025
ACBK1g00095,Ath-1-000024
ACBK1g00096,Ath-1-000023
ACBK1g00097,Ath-1-000020
ACBK1g00098,Ath-1-000019
ACBK1g00099,.
ACBK1g00100,Ath-1-000018
ACBK1g00101,Ath-1-000017
ACBK1g00102,Ath-1-000016
ACBK1g00103,Ath-1-000015
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Ath-1-000014
ACBK1g00107,Ath-1-000012
ACBK1g00108,Ath-1-000011
ACBK1g00109,Ath-1-000010
ACBK1g00110,Ath-1-000009
ACBK1g00111,Ath-1-000008
ACBK1g00112,Ath-1-000007
ACBK1g00113,Ath-1-000006
ACBK1g00114,Ath-1-000005
ACBK1g00115,Ath-1-000004
ACBK1g00116,Ath-1-000003
ACBK1g00117,Ath-1-000002
ACBK1g00118,Ath-1-000001
ACBK1g00119,
ACBK1g00120,Ath-1-000128
ACBK1g00121,.
ACBK1g00122,Ath-1-000129
ACBK1g00123,Ath-1-000130
ACBK1g00124,Ath-1-000131
ACBK1g00125,.
ACBK1g00126,.
ACBK1g00127,Ath-1-000132
ACBK1g00128,Ath-1-000133
ACBK1g00129,.
ACBK1g00130,Ath-1-000134
ACBK1g00131,Ath-1-000136
ACBK1g00132,.
ACBK1g00133,Ath-1-000139
ACBK1g00134,Ath-1-000140
ACBK1g00135,.
ACBK1g00136,Ath-1-000142
ACBK1g00137,Ath-1-000143
ACBK1g00138,Ath-1-000144
ACBK1g00139,Ath-1-000145
ACBK1g00140,.
ACBK1g00141,Ath-1-000146
ACBK1g00142,.
ACBK1g00143,Ath-1-000148
ACBK1g00144,Ath-1-000149
ACBK1g00145,Ath-1-000150
ACBK1g00146,Ath-1-000152
ACBK1g00147,Ath-1-000153
ACBK1g00148,Ath-1-000154
ACBK1g00149,Ath-1-000155
ACBK1g00150,Ath-1-000157
ACBK1g00151,Ath-1-000158
ACBK1g00152,Ath-1-000159
ACBK1g00153,Ath-1-000161
ACBK1g00154,.
ACBK1g00155,Ath-1-000162
ACBK1g00156,Ath-1-000163
ACBK1g00157,Ath-1-000164
ACBK1g00158,Ath-1-000166
ACBK1g00159,Ath-1-000168
ACBK1g00160,Ath-1-000169
ACBK1g00161,.
ACBK1g00162,Ath-1-000170
ACBK1g00163,Ath-1-000171
ACBK1g00164,Ath-1-000172
ACBK1g00165,Ath-1-000173
ACBK1g00166,.
ACBK1g00167,Ath-1-000175
ACBK1g00168,.
ACBK1g00169,.
ACBK1g00170,.
ACBK1g00171,Ath-1-000176
ACBK1g00172,Ath-1-000177
ACBK1g00173,.
ACBK1g00174,Ath-1-000179
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Ath-1-000180
ACBK1g00178,Ath-1-000181
ACBK1g00179,.
ACBK1g00180,Ath-1-000182
ACBK1g00181,Ath-1-000184
ACBK1g00182,Ath-1-000185
ACBK1g00183,Ath-1-000186
ACBK1g00184,Ath-1-000187
ACBK1g00185,Ath-1-000188
ACBK1g00186,Ath-1-000189
ACBK1g00187,Ath-1-000190
ACBK1g00188,Ath-1-000191
ACBK1g00189,.
ACBK1g00190,Ath-1-000192
ACBK1g00191,Ath-1-000193
ACBK1g00192,Ath-1-000194
ACBK1g00193,Ath-1-000195
ACBK1g00194,.
ACBK1g00195,Ath-1-000196
ACBK1g00196,.
ACBK1g00197,Ath-1-000198
ACBK1g00198,Ath-1-000199
ACBK1g00199,Ath-1-000200
ACBK1g00200,Ath-1-000201
ACBK1g00201,Ath-1-000202
ACBK1g00202,Ath-1-000203
ACBK1g00203,Ath-1-000204
ACBK1g00204,Ath-1-000206
ACBK1g00205,Ath-1-000207
ACBK1g00206,Ath-1-000208
ACBK1g00207,Ath-1-000209
ACBK1g00208,Ath-1-000210
ACBK1g00209,Ath-1-000211
ACBK1g00210,Ath-1-000212
ACBK1g00211,Ath-1-000213
ACBK1g00212,Ath-1-000214
ACBK1g00213,Ath-1-000216
ACBK1g00214,Ath-1-000217
ACBK1g00215,Ath-1-000218
ACBK1g00216,Ath-1-000219
ACBK1g00217,Ath-1-000220
ACBK1g00218,Ath-1-000223
ACBK1g00219,Ath-1-000224
ACBK1g00220,Ath-1-000225
ACBK1g00221,Ath-1-000226
ACBK1g00222,Ath-1-000227
ACBK1g00223,Ath-1-000228
ACBK1g00224,Ath-1-000230
ACBK1g00225,Ath-1-000231
ACBK1g00226,Ath-1-000232
ACBK1g00227,.
ACBK1g00228,Ath-1-000234
ACBK1g00229,Ath-1-000238
ACBK1g00230,Ath-1-000239
ACBK1g00231,Ath-1-000240
ACBK1g00232,Ath-1-000241
ACBK1g00233,Ath-1-000242
ACBK1g00234,Ath-1-000243
ACBK1g00235,Ath-1-000244
ACBK1g00236,Ath-1-000245
ACBK1g00237,Ath-1-000247
ACBK1g00238,Ath-1-000248
ACBK1g00239,Ath-1-000249
ACBK1g00240,Ath-1-000250
ACBK1g00241,Ath-1-000251
ACBK1g00242,Ath-1-000252
ACBK1g00243,Ath-1-000253
ACBK1g00244,.
ACBK1g00245,Ath-1-000254
ACBK1g00246,Ath-1-000255
ACBK1g00247,Ath-1-000256
ACBK1g00248,Ath-1-000257
ACBK1g00249,Ath-1-000258
ACBK1g00250,Ath-1-000259
ACBK1g00251,Ath-1-000260
ACBK1g00252,Ath-1-000261
ACBK1g00253,.
ACBK1g00254,Ath-1-000262
ACBK1g00255,.
ACBK1g00256,Ath-1-000264
ACBK1g00257,Ath-1-000265
ACBK1g00258,Ath-1-000266
ACBK1g00259,Ath-1-000267
ACBK1g00260,Ath-1-000268
ACBK1g00261,Ath-1-000269
ACBK1g00262,Ath-1-000270
ACBK1g00263,Ath-1-000271
ACBK1g00264,Ath-1-000272
ACBK1g00265,Ath-1-000273
ACBK1g00266,Ath-1-000274
ACBK1g00267,Ath-1-000275
ACBK1g00268,Ath-1-000276
ACBK1g00269,Ath-1-000278
ACBK1g00270,Ath-1-000279
ACBK1g00271,Ath-1-000280
ACBK1g00272,.
ACBK1g00273,Ath-1-000281
ACBK1g00274,Ath-1-000283
ACBK1g00275,Ath-1-000284
ACBK1g00276,Ath-1-000285
ACBK1g00277,Ath-1-000287
ACBK1g00278,Ath-1-000288
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Ath-1-000289
ACBK1g00282,.
ACBK1g00283,Ath-1-000291
ACBK1g00284,Ath-1-000292
ACBK1g00285,Ath-1-000293
ACBK1g00286,Ath-1-000294
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Ath-1-000295
ACBK1g00290,Ath-1-000296
ACBK1g00291,Ath-1-000297
ACBK1g00292,Ath-1-000298
ACBK1g00293,Ath-1-000299
ACBK1g00294,Ath-1-000300
ACBK1g00295,Ath-1-000301
ACBK1g00296,Ath-1-000302
ACBK1g00297,Ath-1-000303
ACBK1g00298,Ath-1-000304
ACBK1g00299,Ath-1-000305
ACBK1g00300,Ath-1-000306
ACBK1g00301,Ath-1-000307
ACBK1g00302,Ath-1-000308
ACBK1g00303,Ath-1-000309
ACBK1g00304,Ath-1-000310
ACBK1g00305,Ath-1-000311
ACBK1g00306,Ath-1-000312
ACBK1g00307,Ath-1-000313
ACBK1g00308,Ath-1-000314
ACBK1g00309,Ath-1-000315
ACBK1g00310,Ath-1-000317
ACBK1g00311,Ath-1-000318
ACBK1g00312,Ath-1-000319
ACBK1g00313,Ath-1-000320
ACBK1g00314,.
ACBK1g00315,Ath-1-000322
