ACBK1g00001,Crub-1-000001
ACBK1g00002,Crub-1-000002
ACBK1g00003,Crub-1-000003
ACBK1g00004,Crub-1-000004
ACBK1g00005,Crub-1-000005
ACBK1g00006,Crub-1-000006
ACBK1g00007,Crub-1-000007
ACBK1g00008,Crub-1-000008
ACBK1g00009,Crub-1-000009
ACBK1g00010,Crub-1-000010
ACBK1g00011,Crub-1-000011
ACBK1g00012,Crub-1-000012
ACBK1g00013,Crub-1-000013
ACBK1g00014,Crub-1-000014
ACBK1g00015,Crub-1-000015
ACBK1g00016,Crub-1-000016
ACBK1g00017,Crub-1-000017
ACBK1g00018,Crub-1-000018
ACBK1g00019,Crub-1-000019
ACBK1g00020,Crub-1-000020
ACBK1g00021,Crub-1-000021
ACBK1g00022,Crub-1-000022
ACBK1g00023,Crub-1-000023
ACBK1g00024,Crub-1-000024
ACBK1g00025,Crub-1-000025
ACBK1g00026,Crub-1-000026
ACBK1g00027,Crub-1-000027
ACBK1g00028,Crub-1-000028
ACBK1g00029,Crub-1-000029
ACBK1g00030,Crub-1-000030
ACBK1g00031,Crub-1-000031
ACBK1g00032,Crub-1-000032
ACBK1g00033,Crub-1-000033
ACBK1g00034,Crub-1-000034
ACBK1g00035,Crub-1-000035
ACBK1g00036,Crub-1-000036
ACBK1g00037,.
ACBK1g00038,Crub-1-000038
ACBK1g00039,Crub-1-000039
ACBK1g00040,Crub-1-000040
ACBK1g00041,Crub-1-000041
ACBK1g00042,Crub-1-000042
ACBK1g00043,Crub-1-000043
ACBK1g00044,Crub-1-000044
ACBK1g00045,Crub-1-000045
ACBK1g00046,Crub-1-000046
ACBK1g00047,Crub-1-000047
ACBK1g00048,Crub-1-000048
ACBK1g00049,Crub-1-000049
ACBK1g00050,Crub-1-000050
ACBK1g00051,Crub-1-000051
ACBK1g00052,Crub-1-000052
ACBK1g00053,Crub-1-000053
ACBK1g00054,Crub-1-000054
ACBK1g00055,Crub-1-000055
ACBK1g00056,Crub-1-000056
ACBK1g00057,Crub-1-000057
ACBK1g00058,Crub-1-000058
ACBK1g00059,Crub-1-000059
ACBK1g00060,Crub-1-000060
ACBK1g00061,Crub-1-000061
ACBK1g00062,Crub-1-000062
ACBK1g00063,Crub-1-000063
ACBK1g00064,Crub-1-000064
ACBK1g00065,Crub-1-000065
ACBK1g00066,Crub-1-000066
ACBK1g00067,Crub-1-000067
ACBK1g00068,Crub-1-000068
ACBK1g00069,Crub-1-000069
ACBK1g00070,Crub-1-000070
ACBK1g00071,Crub-1-000071
ACBK1g00072,Crub-1-000072
ACBK1g00073,Crub-1-000073
ACBK1g00074,Crub-1-000074
ACBK1g00075,.
ACBK1g00076,Crub-1-000076
ACBK1g00077,Crub-1-000077
ACBK1g00078,Crub-1-000078
ACBK1g00079,Crub-1-000079
ACBK1g00080,Crub-1-000080
ACBK1g00081,Crub-1-000081
ACBK1g00082,Crub-1-000082
ACBK1g00083,Crub-1-000083
ACBK1g00084,Crub-1-000084
ACBK1g00085,Crub-1-000085
ACBK1g00086,Crub-1-000086
ACBK1g00087,Crub-1-000087
ACBK1g00088,Crub-1-000088
ACBK1g00089,Crub-1-000089
ACBK1g00090,Crub-1-000090
ACBK1g00091,Crub-1-000091
ACBK1g00092,Crub-1-000092
ACBK1g00093,Crub-1-000093
ACBK1g00094,Crub-1-000094
ACBK1g00095,Crub-1-000095
