ACBK1g00001,Spar-1-000008
ACBK1g00002,Spar-1-000007
ACBK1g00003,Spar-1-000006
ACBK1g00004,Spar-1-000005
ACBK1g00005,.
ACBK1g00006,.
ACBK1g00007,Spar-1-000003
ACBK1g00008,.
ACBK1g00009,Spar-1-000011
ACBK1g00010,.
ACBK1g00011,Spar-1-000013
ACBK1g00012,Spar-1-000014
ACBK1g00013,Spar-1-000015
ACBK1g00014,.
ACBK1g00015,.
ACBK1g00016,Spar-1-000017
ACBK1g00017,Spar-1-000018
ACBK1g00018,.
ACBK1g00019,.
ACBK1g00020,Spar-1-000020
ACBK1g00021,.
ACBK1g00022,.
ACBK1g00023,Spar-1-000022
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,.
ACBK1g00027,.
ACBK1g00028,Spar-1-000024
ACBK1g00029,Spar-1-000026
ACBK1g00030,.
ACBK1g00031,Spar-1-000029
ACBK1g00032,Spar-1-000031
ACBK1g00033,Spar-1-000032
ACBK1g00034,Spar-1-000033
ACBK1g00035,Spar-1-000034
ACBK1g00036,Spar-1-000035
ACBK1g00037,.
ACBK1g00038,Spar-1-000036
ACBK1g00039,.
ACBK1g00040,Spar-1-000038
ACBK1g00041,Spar-1-000040
ACBK1g00042,.
ACBK1g00043,.
ACBK1g00044,Spar-1-000043
ACBK1g00045,Spar-1-000044
ACBK1g00046,Spar-1-000047
ACBK1g00047,.
ACBK1g00048,.
ACBK1g00049,.
ACBK1g00050,Spar-1-000051
ACBK1g00051,Spar-1-000052
ACBK1g00052,.
ACBK1g00053,.
ACBK1g00054,Spar-1-000055
ACBK1g00055,Spar-1-000056
ACBK1g00056,Spar-1-000057
ACBK1g00057,Spar-1-000058
ACBK1g00058,Spar-1-000059
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Spar-1-000061
ACBK1g00064,Spar-1-000063
ACBK1g00065,.
ACBK1g00066,Spar-1-000064
ACBK1g00067,.
ACBK1g00068,.
ACBK1g00069,Spar-1-000066
ACBK1g00070,Spar-1-000067
ACBK1g00071,Spar-1-000068
ACBK1g00072,Spar-1-000069
ACBK1g00073,Spar-1-000070
ACBK1g00074,Spar-1-000071
ACBK1g00075,.
ACBK1g00076,Spar-1-000072
ACBK1g00077,.
ACBK1g00078,.
ACBK1g00079,Spar-1-000075
ACBK1g00080,Spar-1-000076
ACBK1g00081,.
ACBK1g00082,Spar-1-000078
ACBK1g00083,.
ACBK1g00084,Spar-1-000080
ACBK1g00085,Spar-1-000081
ACBK1g00086,.
ACBK1g00087,Spar-1-000082
ACBK1g00088,.
ACBK1g00089,Spar-1-000084
ACBK1g00090,Spar-1-000085
ACBK1g00091,Spar-1-000086
ACBK1g00092,Spar-1-000087
ACBK1g00093,Spar-1-000088
ACBK1g00094,.
ACBK1g00095,.
ACBK1g00096,Spar-1-000090
ACBK1g00097,Spar-1-000093
ACBK1g00098,Spar-1-000094
ACBK1g00099,.
ACBK1g00100,Spar-1-000095
ACBK1g00101,Spar-1-000096
ACBK1g00102,Spar-1-000097
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Spar-1-000098
ACBK1g00107,Spar-1-000099
ACBK1g00108,Spar-1-000100
ACBK1g00109,.
ACBK1g00110,Spar-1-000103
ACBK1g00111,Spar-1-000104
ACBK1g00112,Spar-1-000106
ACBK1g00113,Spar-1-000107
ACBK1g00114,.
ACBK1g00115,Spar-1-000108
ACBK1g00116,Spar-1-000109
ACBK1g00117,.
ACBK1g00118,.
ACBK1g00119,.
ACBK1g00120,Spar-1-000112
ACBK1g00121,.
ACBK1g00122,.
ACBK1g00123,Spar-1-000113
ACBK1g00124,.
ACBK1g00125,.
ACBK1g00126,.
ACBK1g00127,.
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,.
ACBK1g00131,Spar-1-000115
ACBK1g00132,.
ACBK1g00133,.
ACBK1g00134,Spar-1-000116
ACBK1g00135,.
ACBK1g00136,.
ACBK1g00137,Spar-1-000117
ACBK1g00138,.
ACBK1g00139,Spar-1-000118
ACBK1g00140,.
ACBK1g00141,Spar-1-000119
ACBK1g00142,.
ACBK1g00143,Spar-1-000121
ACBK1g00144,Spar-1-000122
ACBK1g00145,.
ACBK1g00146,.
ACBK1g00147,Spar-1-000124
ACBK1g00148,.
ACBK1g00149,Spar-1-000125
ACBK1g00150,.
ACBK1g00151,.
ACBK1g00152,Spar-1-000126
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Spar-1-000127
ACBK1g00157,.
ACBK1g00158,.
ACBK1g00159,Spar-1-000128
ACBK1g00160,Spar-1-000129
ACBK1g00161,.
ACBK1g00162,Spar-1-000130
ACBK1g00163,Spar-1-000131
ACBK1g00164,.
ACBK1g00165,Spar-1-000132
ACBK1g00166,.
ACBK1g00167,Spar-1-000133
ACBK1g00168,Spar-1-000134
ACBK1g00169,.
ACBK1g00170,.
ACBK1g00171,.
ACBK1g00172,Spar-1-000135
ACBK1g00173,.
ACBK1g00174,Spar-1-000136
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Spar-1-000137
ACBK1g00178,Spar-1-000138
ACBK1g00179,.
ACBK1g00180,.
ACBK1g00181,Spar-1-000140
ACBK1g00182,Spar-1-000141
ACBK1g00183,Spar-1-000142
ACBK1g00184,Spar-1-000143
ACBK1g00185,.
ACBK1g00186,Spar-1-000144
