ACBK1g00001,Bdiv-1-001721
ACBK1g00002,Bdiv-1-001722
ACBK1g00003,Bdiv-1-001723
ACBK1g00004,Bdiv-1-001724
ACBK1g00005,Bdiv-1-001725
ACBK1g00006,.
ACBK1g00007,Bdiv-1-001726
ACBK1g00008,Bdiv-1-001728
ACBK1g00009,Bdiv-1-001720
ACBK1g00010,Bdiv-1-001719
ACBK1g00011,.
ACBK1g00012,Bdiv-1-001716
ACBK1g00013,.
ACBK1g00014,.
ACBK1g00015,Bdiv-1-001714
ACBK1g00016,Bdiv-1-001713
ACBK1g00017,Bdiv-1-001712
ACBK1g00018,Bdiv-1-001711
ACBK1g00019,Bdiv-1-001710
ACBK1g00020,.
ACBK1g00021,Bdiv-1-001709
ACBK1g00022,.
ACBK1g00023,.
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Bdiv-1-001706
ACBK1g00027,.
ACBK1g00028,Bdiv-1-001703
ACBK1g00029,Bdiv-1-001700
ACBK1g00030,Bdiv-1-001699
ACBK1g00031,Bdiv-1-001696
ACBK1g00032,.
ACBK1g00033,.
ACBK1g00034,.
ACBK1g00035,Bdiv-1-001693
ACBK1g00036,.
ACBK1g00037,.
ACBK1g00038,.
ACBK1g00039,Bdiv-1-001690
ACBK1g00040,Bdiv-1-001688
ACBK1g00041,Bdiv-1-001687
ACBK1g00042,Bdiv-1-001686
ACBK1g00043,.
ACBK1g00044,Bdiv-1-001685
ACBK1g00045,.
ACBK1g00046,Bdiv-1-001682
ACBK1g00047,Bdiv-1-001681
ACBK1g00048,.
ACBK1g00049,Bdiv-1-001679
ACBK1g00050,.
ACBK1g00051,.
ACBK1g00052,Bdiv-1-001675
ACBK1g00053,Bdiv-1-001674
ACBK1g00054,Bdiv-1-001673
ACBK1g00055,.
ACBK1g00056,Bdiv-1-001671
ACBK1g00057,Bdiv-1-001670
ACBK1g00058,Bdiv-1-001669
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Bdiv-1-001667
ACBK1g00064,Bdiv-1-001665
ACBK1g00065,Bdiv-1-001664
ACBK1g00066,.
ACBK1g00067,Bdiv-1-001660
ACBK1g00068,.
ACBK1g00069,.
ACBK1g00070,Bdiv-1-001657
ACBK1g00071,Bdiv-1-001656
ACBK1g00072,.
ACBK1g00073,Bdiv-1-001654
ACBK1g00074,Bdiv-1-001653
ACBK1g00075,.
ACBK1g00076,.
ACBK1g00077,Bdiv-1-001651
ACBK1g00078,.
ACBK1g00079,Bdiv-1-001649
ACBK1g00080,Bdiv-1-001648
ACBK1g00081,Bdiv-1-001647
ACBK1g00082,.
ACBK1g00083,Bdiv-1-001646
ACBK1g00084,Bdiv-1-001645
ACBK1g00085,Bdiv-1-001403
ACBK1g00086,.
ACBK1g00087,.
ACBK1g00088,Bdiv-1-001400
ACBK1g00089,Bdiv-1-001398
ACBK1g00090,Bdiv-1-001397
ACBK1g00091,Bdiv-1-001396
ACBK1g00092,Bdiv-1-001395
ACBK1g00093,.
ACBK1g00094,Bdiv-1-001393
ACBK1g00095,Bdiv-1-001392
ACBK1g00096,Bdiv-1-001391
ACBK1g00097,Bdiv-1-001388
ACBK1g00098,.
ACBK1g00099,.
ACBK1g00100,Bdiv-1-001387
ACBK1g00101,.
ACBK1g00102,Bdiv-1-001385
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Bdiv-1-001383
ACBK1g00107,Bdiv-1-001382
ACBK1g00108,Bdiv-1-001381
ACBK1g00109,Bdiv-1-001380
ACBK1g00110,Bdiv-1-001379
ACBK1g00111,Bdiv-1-001378
ACBK1g00112,.
ACBK1g00113,.
ACBK1g00114,Bdiv-1-001375
ACBK1g00115,Bdiv-1-001374
ACBK1g00116,Bdiv-1-001373
ACBK1g00117,Bdiv-1-001372
ACBK1g00118,Bdiv-1-001365
ACBK1g00119,.
ACBK1g00120,.
ACBK1g00121,.
ACBK1g00122,.
ACBK1g00123,Bdiv-1-001364
ACBK1g00124,Bdiv-1-001415
ACBK1g00125,Bdiv-1-001419
ACBK1g00126,.
ACBK1g00127,Bdiv-1-001420
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Bdiv-1-001422
ACBK1g00131,.
ACBK1g00132,.
ACBK1g00133,Bdiv-1-001425
ACBK1g00134,.
ACBK1g00135,.
ACBK1g00136,.
ACBK1g00137,Bdiv-1-001429
ACBK1g00138,Bdiv-1-001430
ACBK1g00139,Bdiv-1-001431
ACBK1g00140,.
ACBK1g00141,Bdiv-1-001432
ACBK1g00142,.
ACBK1g00143,Bdiv-1-001438
ACBK1g00144,Bdiv-1-001439
ACBK1g00145,.
ACBK1g00146,Bdiv-1-001440
ACBK1g00147,.
ACBK1g00148,Bdiv-1-001441
ACBK1g00149,Bdiv-1-001442
ACBK1g00150,Bdiv-1-001443
ACBK1g00151,Bdiv-1-001444
ACBK1g00152,Bdiv-1-001445
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Bdiv-1-001446
ACBK1g00157,Bdiv-1-001447
ACBK1g00158,Bdiv-1-001448
ACBK1g00159,Bdiv-1-001454
ACBK1g00160,Bdiv-1-001456
ACBK1g00161,.
ACBK1g00162,Bdiv-1-001457
ACBK1g00163,Bdiv-1-001458
ACBK1g00164,.
ACBK1g00165,Bdiv-1-001460
ACBK1g00166,.
ACBK1g00167,Bdiv-1-001461
ACBK1g00168,Bdiv-1-001462
ACBK1g00169,Bdiv-1-001463
ACBK1g00170,Bdiv-1-001464
ACBK1g00171,Bdiv-1-001465
ACBK1g00172,Bdiv-1-001466
ACBK1g00173,.
ACBK1g00174,Bdiv-1-001468
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Bdiv-1-001469
ACBK1g00178,Bdiv-1-001470
ACBK1g00179,.
ACBK1g00180,Bdiv-1-001471
ACBK1g00181,.
ACBK1g00182,Bdiv-1-001472
ACBK1g00183,Bdiv-1-001474
ACBK1g00184,Bdiv-1-001475
ACBK1g00185,Bdiv-1-001476
ACBK1g00186,Bdiv-1-001477
ACBK1g00187,Bdiv-1-001478
ACBK1g00188,Bdiv-1-001479
ACBK1g00189,.
ACBK1g00190,Bdiv-1-001481
ACBK1g00191,.
ACBK1g00192,Bdiv-1-001483
ACBK1g00193,Bdiv-1-001484
ACBK1g00194,.
ACBK1g00195,Bdiv-1-001486
ACBK1g00196,.
ACBK1g00197,Bdiv-1-001488
ACBK1g00198,Bdiv-1-001489
ACBK1g00199,.
ACBK1g00200,Bdiv-1-001492
ACBK1g00201,.
ACBK1g00202,Bdiv-1-001494
ACBK1g00203,.
ACBK1g00204,Bdiv-1-001496
ACBK1g00205,.
ACBK1g00206,Bdiv-1-001498
ACBK1g00207,.
ACBK1g00208,Bdiv-1-001500
ACBK1g00209,Bdiv-1-001501
ACBK1g00210,.
ACBK1g00211,Bdiv-1-001506
ACBK1g00212,Bdiv-1-001507
ACBK1g00213,Bdiv-1-001508
ACBK1g00214,.
ACBK1g00215,Bdiv-1-001514
ACBK1g00216,Bdiv-1-001515
ACBK1g00217,.
ACBK1g00218,Bdiv-1-001516
ACBK1g00219,Bdiv-1-001517
ACBK1g00220,.
ACBK1g00221,Bdiv-1-001519
ACBK1g00222,.
ACBK1g00223,.
ACBK1g00224,Bdiv-1-001522
ACBK1g00225,Bdiv-1-001523
ACBK1g00226,Bdiv-1-001524
ACBK1g00227,Bdiv-1-001525
ACBK1g00228,Bdiv-1-001526
ACBK1g00229,Bdiv-1-001527
ACBK1g00230,.
ACBK1g00231,Bdiv-1-001529
ACBK1g00232,Bdiv-1-001530
ACBK1g00233,.
ACBK1g00234,.
ACBK1g00235,Bdiv-1-001532
ACBK1g00236,Bdiv-1-001533
ACBK1g00237,Bdiv-1-001534
ACBK1g00238,Bdiv-1-001536
ACBK1g00239,Bdiv-1-001537
ACBK1g00240,Bdiv-1-001538
ACBK1g00241,.
ACBK1g00242,Bdiv-1-001540
ACBK1g00243,Bdiv-1-001541
ACBK1g00244,.
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Bdiv-1-001542
ACBK1g00248,Bdiv-1-001543
ACBK1g00249,.
ACBK1g00250,Bdiv-1-001546
ACBK1g00251,Bdiv-1-001547
ACBK1g00252,Bdiv-1-001548
ACBK1g00253,.
ACBK1g00254,.
ACBK1g00255,.
ACBK1g00256,Bdiv-1-001586
ACBK1g00257,Bdiv-1-001585
ACBK1g00258,Bdiv-1-001584
ACBK1g00259,.
ACBK1g00260,.
ACBK1g00261,Bdiv-1-001582
ACBK1g00262,.
ACBK1g00263,Bdiv-1-001580
ACBK1g00264,Bdiv-1-001579
ACBK1g00265,.
ACBK1g00266,Bdiv-1-001577
ACBK1g00267,.
ACBK1g00268,.
ACBK1g00269,Bdiv-1-001576
ACBK1g00270,Bdiv-1-001573
ACBK1g00271,Bdiv-1-001572
ACBK1g00272,.
ACBK1g00273,.
ACBK1g00274,Bdiv-1-001571
ACBK1g00275,Bdiv-1-001570
ACBK1g00276,Bdiv-1-001569
ACBK1g00277,.
ACBK1g00278,Bdiv-1-001566
ACBK1g00279,.
ACBK1g00280,.
ACBK1g00281,Bdiv-1-001565
ACBK1g00282,Bdiv-1-001564
ACBK1g00283,Bdiv-1-001562
ACBK1g00284,.
ACBK1g00285,Bdiv-1-001560
ACBK1g00286,Bdiv-1-001559
ACBK1g00287,.
ACBK1g00288,.
ACBK1g00289,Bdiv-1-001558
ACBK1g00290,Bdiv-1-001557
ACBK1g00291,Bdiv-1-001556
ACBK1g00292,Bdiv-1-001555
ACBK1g00293,Bdiv-1-001554
ACBK1g00294,.
ACBK1g00295,.
ACBK1g00296,Bdiv-1-001551
ACBK1g00297,.
ACBK1g00298,Bdiv-1-001549
ACBK1g00299,.
ACBK1g00300,Bdiv-1-001588
ACBK1g00301,Bdiv-1-001589
ACBK1g00302,Bdiv-1-001590
ACBK1g00303,.
ACBK1g00304,Bdiv-1-001593
ACBK1g00305,.
ACBK1g00306,.
ACBK1g00307,.
ACBK1g00308,Bdiv-1-001597
ACBK1g00309,Bdiv-1-001598
ACBK1g00310,Bdiv-1-001600
ACBK1g00311,Bdiv-1-001601
ACBK1g00312,Bdiv-1-001602
ACBK1g00313,.
ACBK1g00314,.
ACBK1g00315,Bdiv-1-001604
ACBK1g00316,Bdiv-1-001605
ACBK1g00317,Bdiv-1-001606
ACBK1g00318,Bdiv-1-001607
ACBK1g00319,.
ACBK1g00320,Bdiv-1-001612
ACBK1g00321,Bdiv-1-001614
ACBK1g00322,.
ACBK1g00323,.
ACBK1g00324,.
ACBK1g00325,.
ACBK1g00326,.
ACBK1g00327,.
ACBK1g00328,Bdiv-1-001618
ACBK1g00329,Bdiv-1-001619
ACBK1g00330,Bdiv-1-001620
ACBK1g00331,.
ACBK1g00332,Bdiv-1-001621
ACBK1g00333,Bdiv-1-001622
ACBK1g00334,Bdiv-1-001623
ACBK1g00335,Bdiv-1-001624
ACBK1g00336,.
ACBK1g00337,.
ACBK1g00338,Bdiv-1-001626
ACBK1g00339,Bdiv-1-001627
ACBK1g00340,Bdiv-1-001628
ACBK1g00341,.
ACBK1g00342,.
ACBK1g00343,Bdiv-1-001630
ACBK1g00344,.
ACBK1g00345,Bdiv-1-001633
ACBK1g00346,.
ACBK1g00347,Bdiv-1-001634
ACBK1g00348,Bdiv-1-001635
ACBK1g00349,Bdiv-1-001636
ACBK1g00350,Bdiv-1-001637
ACBK1g00351,Bdiv-1-001638
ACBK1g00352,Bdiv-1-001639
ACBK1g00353,Bdiv-1-002015
ACBK1g00354,Bdiv-1-002017
ACBK1g00355,.
ACBK1g00356,Bdiv-1-002018
ACBK1g00357,.
ACBK1g00358,Bdiv-1-002019
ACBK1g00359,.
ACBK1g00360,Bdiv-1-002021
