ACBK1g00001,Iind-3-000007
ACBK1g00002,Iind-3-000006
ACBK1g00003,Iind-3-000005
ACBK1g00004,Iind-3-000004
ACBK1g00005,.
ACBK1g00006,Iind-3-000003
ACBK1g00007,.
ACBK1g00008,.
ACBK1g00009,Iind-3-000010
ACBK1g00010,Iind-3-000011
ACBK1g00011,.
ACBK1g00012,Iind-3-000012
ACBK1g00013,.
ACBK1g00014,Iind-3-000014
ACBK1g00015,Iind-3-000016
ACBK1g00016,Iind-3-000017
ACBK1g00017,Iind-3-000018
ACBK1g00018,.
ACBK1g00019,.
ACBK1g00020,Iind-3-000019
ACBK1g00021,.
ACBK1g00022,Iind-3-000021
ACBK1g00023,.
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,.
ACBK1g00027,Iind-3-000023
ACBK1g00028,Iind-3-000024
ACBK1g00029,Iind-3-000026
ACBK1g00030,Iind-3-000027
ACBK1g00031,Iind-3-000030
ACBK1g00032,Iind-3-000031
ACBK1g00033,Iind-3-000032
ACBK1g00034,Iind-3-000033
ACBK1g00035,Iind-3-000034
ACBK1g00036,Iind-3-000035
ACBK1g00037,.
ACBK1g00038,Iind-3-000036
ACBK1g00039,.
ACBK1g00040,Iind-3-000039
ACBK1g00041,Iind-3-000041
ACBK1g00042,Iind-3-000042
ACBK1g00043,Iind-3-000043
ACBK1g00044,.
ACBK1g00045,Iind-3-000044
ACBK1g00046,Iind-3-000046
ACBK1g00047,Iind-3-000047
ACBK1g00048,Iind-3-000048
ACBK1g00049,.
ACBK1g00050,Iind-3-000049
ACBK1g00051,Iind-3-000050
ACBK1g00052,Iind-3-000051
ACBK1g00053,Iind-3-000052
ACBK1g00054,Iind-3-000053
ACBK1g00055,Iind-3-000054
ACBK1g00056,Iind-3-000055
ACBK1g00057,Iind-3-000056
ACBK1g00058,Iind-3-000057
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Iind-3-000059
ACBK1g00064,Iind-3-000062
ACBK1g00065,Iind-3-000063
ACBK1g00066,Iind-3-000064
ACBK1g00067,Iind-3-000065
ACBK1g00068,Iind-3-000066
ACBK1g00069,Iind-3-000067
ACBK1g00070,Iind-3-000068
ACBK1g00071,Iind-3-000069
ACBK1g00072,Iind-3-000070
ACBK1g00073,Iind-3-000071
ACBK1g00074,Iind-3-000072
ACBK1g00075,.
ACBK1g00076,Iind-3-000073
ACBK1g00077,Iind-3-000074
ACBK1g00078,Iind-3-000075
ACBK1g00079,Iind-3-000076
ACBK1g00080,Iind-3-000077
ACBK1g00081,Iind-3-000078
ACBK1g00082,Iind-3-000079
ACBK1g00083,Iind-3-000080
ACBK1g00084,Iind-3-000081
ACBK1g00085,Iind-3-000082
ACBK1g00086,Iind-3-000083
ACBK1g00087,Iind-3-000084
ACBK1g00088,Iind-3-000085
ACBK1g00089,Iind-3-000086
ACBK1g00090,Iind-3-000087
ACBK1g00091,Iind-3-000088
ACBK1g00092,Iind-3-000089
ACBK1g00093,Iind-3-000091
ACBK1g00094,Iind-3-000092
ACBK1g00095,Iind-3-000093
ACBK1g00096,Iind-3-000094
ACBK1g00097,Iind-3-000096
ACBK1g00098,Iind-3-000097
ACBK1g00099,.
ACBK1g00100,Iind-3-000099
ACBK1g00101,Iind-3-000100
ACBK1g00102,Iind-3-000101
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Iind-3-000102
ACBK1g00107,.
ACBK1g00108,Iind-3-000106
ACBK1g00109,Iind-3-000107
ACBK1g00110,Iind-3-000108
ACBK1g00111,Iind-3-000110
ACBK1g00112,Iind-3-000111
ACBK1g00113,Iind-3-000114
ACBK1g00114,Iind-3-000115
ACBK1g00115,Iind-3-000116
ACBK1g00116,Iind-3-000119
ACBK1g00117,Iind-3-000120
ACBK1g00118,Iind-3-000121
ACBK1g00119,.
ACBK1g00120,Iind-3-000122
ACBK1g00121,.
ACBK1g00122,Iind-3-000123
ACBK1g00123,Iind-3-000125
ACBK1g00124,Iind-3-000126
ACBK1g00125,Iind-3-000127
ACBK1g00126,.
ACBK1g00127,Iind-3-000128
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Iind-3-000132
ACBK1g00131,Iind-3-000134
ACBK1g00132,.
ACBK1g00133,Iind-3-000137
ACBK1g00134,Iind-3-000138
ACBK1g00135,.
ACBK1g00136,.
ACBK1g00137,Iind-3-000141
ACBK1g00138,Iind-3-000142
ACBK1g00139,Iind-3-000143
ACBK1g00140,.
ACBK1g00141,Iind-3-000144
ACBK1g00142,.
ACBK1g00143,Iind-3-000146
ACBK1g00144,Iind-3-000147
ACBK1g00145,Iind-3-000148
ACBK1g00146,.
ACBK1g00147,Iind-3-000150
ACBK1g00148,Iind-3-000151
ACBK1g00149,Iind-3-000152
ACBK1g00150,Iind-3-000153
ACBK1g00151,.
ACBK1g00152,Iind-3-000154
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,.
ACBK1g00156,Iind-3-000155
ACBK1g00157,Iind-3-000156
ACBK1g00158,Iind-3-000157
ACBK1g00159,Iind-3-000158
ACBK1g00160,.
ACBK1g00161,.
ACBK1g00162,Iind-3-000159
