ACBK1g00001,Mpyg-1-004012
ACBK1g00002,Mpyg-1-004013
ACBK1g00003,Mpyg-1-004014
ACBK1g00004,Mpyg-1-004015
ACBK1g00005,Mpyg-1-004016
ACBK1g00006,.
ACBK1g00007,Mpyg-1-004017
ACBK1g00008,.
ACBK1g00009,Mpyg-1-004010
ACBK1g00010,Mpyg-1-004008
ACBK1g00011,Mpyg-1-004007
ACBK1g00012,Mpyg-1-004006
ACBK1g00013,Mpyg-1-004005
ACBK1g00014,.
ACBK1g00015,Mpyg-1-004003
ACBK1g00016,Mpyg-1-004002
ACBK1g00017,Mpyg-1-004001
ACBK1g00018,.
ACBK1g00019,Mpyg-1-004000
ACBK1g00020,Mpyg-1-003999
ACBK1g00021,Mpyg-1-003998
ACBK1g00022,Mpyg-1-003997
ACBK1g00023,Mpyg-1-003996
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,.
ACBK1g00027,Mpyg-1-003995
ACBK1g00028,Mpyg-1-003994
ACBK1g00029,Mpyg-1-003992
ACBK1g00030,Mpyg-1-003991
ACBK1g00031,Mpyg-1-003989
ACBK1g00032,Mpyg-1-003988
ACBK1g00033,Mpyg-1-003987
ACBK1g00034,Mpyg-1-003986
ACBK1g00035,.
ACBK1g00036,Mpyg-1-003985
ACBK1g00037,.
ACBK1g00038,Mpyg-1-003984
ACBK1g00039,.
ACBK1g00040,Mpyg-1-003982
ACBK1g00041,Mpyg-1-003981
ACBK1g00042,Mpyg-1-003980
ACBK1g00043,Mpyg-1-003979
ACBK1g00044,Mpyg-1-003978
ACBK1g00045,.
ACBK1g00046,Mpyg-1-003975
ACBK1g00047,Mpyg-1-003973
ACBK1g00048,.
ACBK1g00049,Mpyg-1-003972
ACBK1g00050,Mpyg-1-003971
ACBK1g00051,Mpyg-1-003970
ACBK1g00052,Mpyg-1-003969
ACBK1g00053,Mpyg-1-003968
ACBK1g00054,Mpyg-1-003967
ACBK1g00055,Mpyg-1-003966
ACBK1g00056,Mpyg-1-003965
ACBK1g00057,Mpyg-1-003964
ACBK1g00058,Mpyg-1-003963
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Mpyg-1-003961
ACBK1g00064,Mpyg-1-003958
ACBK1g00065,.
ACBK1g00066,.
ACBK1g00067,Mpyg-1-003957
ACBK1g00068,.
ACBK1g00069,Mpyg-1-003954
ACBK1g00070,Mpyg-1-003953
ACBK1g00071,Mpyg-1-003952
ACBK1g00072,Mpyg-1-003951
ACBK1g00073,Mpyg-1-003950
ACBK1g00074,Mpyg-1-003949
ACBK1g00075,.
ACBK1g00076,Mpyg-1-003948
ACBK1g00077,.
ACBK1g00078,.
ACBK1g00079,Mpyg-1-003946
ACBK1g00080,Mpyg-1-003945
ACBK1g00081,Mpyg-1-003944
ACBK1g00082,Mpyg-1-003943
ACBK1g00083,Mpyg-1-003942
ACBK1g00084,Mpyg-1-003941
ACBK1g00085,Mpyg-1-003940
ACBK1g00086,Mpyg-1-003939
ACBK1g00087,Mpyg-1-003938
ACBK1g00088,Mpyg-1-003937
ACBK1g00089,Mpyg-1-003936
ACBK1g00090,Mpyg-1-003935
ACBK1g00091,Mpyg-1-003934
ACBK1g00092,Mpyg-1-003933
ACBK1g00093,Mpyg-1-003932
ACBK1g00094,Mpyg-1-003931
ACBK1g00095,.
ACBK1g00096,Mpyg-1-003930
ACBK1g00097,Mpyg-1-003927
ACBK1g00098,Mpyg-1-003926
ACBK1g00099,.
ACBK1g00100,Mpyg-1-003925
ACBK1g00101,Mpyg-1-003924
ACBK1g00102,Mpyg-1-003923
