,Aare-4-000003,Aha-4-000001,Alsp-4-000002,Aru-a04-002343,,Asu-2-001210,Asu-9-000006,Ath-2-001391,,,Cen-7-002886,Cen-10-002845,Cfle-4-002886,Chivh-2-004894,Cla-7-02636,Cne-2-003890,Cpl-320-000004,Crub-4-000001,Csa-9-003557,Csa-7-002974,Csa-16-002824,Eche-7-002234,Esal-3-000009,Iind-5-003179,Mpe-12-000003,Mpyg-2-000094,Spar-4-000006,Tar-4-002763,,,
Aara-7-001446,Aare-4-000004,Aha-4-000002,Alsp-4-000004,Aru-a04-002341,Aru-b04-002335,Asu-2-001212,Asu-9-000007,Ath-2-001393,Bdiv-4-002989,Bst-4-000009,.,Cen-10-002846,.,Chivh-2-004895,Cla-7-02635,Cne-2-003891,Cpl-320-000005,Crub-4-000002,Csa-9-003558,Csa-7-002975,Csa-16-002825,Eche-7-002235,Esal-3-000010,Iind-5-003178,Mpe-12-000004,Mpyg-2-000093,Spar-4-000007,Tar-4-002762,,,
.,Aare-4-000005,Aha-4-000003,Alsp-4-000005,.,.,Asu-2-001213,Asu-9-000008,Ath-2-001394,.,.,.,.,.,.,Cla-7-02634,Cne-2-003892,Cpl-320-000006,Crub-4-000003,Csa-9-003559,Csa-7-002976,Csa-16-002826,Eche-7-002236,Esal-3-000011,Iind-5-003177,Mpe-12-000005,Mpyg-2-000092,Spar-4-000008,.,,,
.,Aare-4-000009,Aha-4-000006,Alsp-4-000008,Aru-a04-002338,.,.,Asu-9-000012,.,.,.,.,Cen-10-002848,Cfle-4-002883,Chivh-2-004898,.,.,.,Crub-4-000004,Csa-9-003560,.,Csa-16-002827,Eche-7-002240,.,.,.,.,.,Tar-4-002759,,,
Aara-7-001444,Aare-4-000010,Aha-4-000007,Alsp-4-000009,Aru-a04-002337,Aru-b04-002333,Asu-2-001218,Asu-9-000013,Ath-2-001398,Bdiv-4-002958,Bst-4-000029,Cen-7-002884,Cen-10-002849,Cfle-4-002882,Chivh-2-004899,Cla-7-02631,Cne-2-003894,Cpl-320-000009,Crub-4-000005,Csa-9-003561,Csa-7-002977,.,Eche-7-002241,Esal-3-000014,Iind-5-003173,Mpe-12-000009,Mpyg-2-000090,.,Tar-4-002758,,,
Aara-7-001443,Aare-4-000011,Aha-4-000008,Alsp-4-000010,Aru-a04-002336,Aru-b04-002332,Asu-2-001219,Asu-9-000014,Ath-2-001399,Bdiv-4-002959,Bst-4-000028,Cen-7-002883,Cen-10-002850,Cfle-4-002881,Chivh-2-004900,Cla-7-02630,Cne-2-003895,Cpl-320-000011,Crub-4-000006,Csa-9-003562,Csa-7-002978,Csa-16-002828,Eche-7-002242,Esal-3-000015,Iind-5-003171,Mpe-12-000012,Mpyg-2-000089,Spar-4-000012,Tar-4-002757,,,
Aara-7-001440,Aare-4-000012,Aha-4-000010,Alsp-4-000011,.,Aru-b04-002331,Asu-2-001223,Asu-9-000015,Ath-2-001403,Bdiv-4-002965,Bst-4-000025,.,Cen-10-002851,Cfle-4-002880,Chivh-2-004901,.,Cne-2-003896,.,Crub-4-000007,Csa-9-003563,Csa-7-002979,Csa-16-002829,Eche-7-002243,.,.,.,Mpyg-2-000087,.,Tar-4-002755,,,
Aara-7-001439,Aare-4-000015,Aha-4-000011,Alsp-4-000012,Aru-a04-002334,Aru-b04-002330,Asu-2-001224,Asu-9-000016,Ath-2-001404,Bdiv-4-002966,Bst-4-000024,Cen-7-002881,Cen-10-002852,Cfle-4-002879,Chivh-2-004902,Cla-7-02629,.,Cpl-320-000013,Crub-4-000008,Csa-9-003564,Csa-7-002980,Csa-16-002830,Eche-7-002244,Esal-3-000016,Iind-5-003195,Mpe-12-000014,Mpyg-2-000086,.,Tar-4-002754,,,
.,Aare-4-000016,Aha-4-000012,Alsp-4-000013,.,.,Asu-2-001225,Asu-9-000017,Ath-2-001405,Bdiv-4-002967,.,Cen-7-002880,Cen-10-002853,Cfle-4-002878,Chivh-2-004903,Cla-7-02628,Cne-2-003898,Cpl-320-000014,Crub-4-000009,Csa-9-003565,Csa-7-002981,Csa-16-002831,Eche-7-002245,Esal-3-000017,.,.,.,Spar-4-000014,.,,,
Aara-7-001438,Aare-4-000017,Aha-4-000013,Alsp-4-000014,.,Aru-b04-002329,Asu-2-001226,Asu-9-000018,Ath-2-001406,Bdiv-4-002968,Bst-4-000022,Cen-7-002879,Cen-10-002854,Cfle-4-002877,Chivh-2-004904,Cla-7-02627,Cne-2-003900,.,Crub-4-000010,Csa-9-003566,Csa-7-002982,Csa-16-002832,.,Esal-3-000018,Iind-5-003194,Mpe-12-000015,Mpyg-2-000085,.,Tar-4-002753,,,
.,Aare-4-000018,Aha-4-000014,Alsp-4-000015,.,Aru-b04-002328,Asu-2-001227,Asu-9-000019,Ath-2-001407,Bdiv-4-002969,Bst-4-000021,Cen-7-002878,Cen-10-002855,Cfle-4-002876,Chivh-2-004905,.,Cne-2-003901,.,Crub-4-000011,Csa-9-003567,Csa-7-002983,.,Eche-7-002246,Esal-3-000019,Iind-5-003193,Mpe-12-000016,.,.,.,,,
Aara-7-001437,.,Aha-4-000015,Alsp-4-000016,.,.,Asu-2-001228,Asu-9-000020,Ath-2-001408,.,.,Cen-7-002877,Cen-10-002856,Cfle-4-002875,.,.,.,Cpl-320-000016,Crub-4-000012,Csa-9-003568,Csa-7-002984,Csa-16-002833,Eche-7-002247,Esal-3-000020,Iind-5-003192,Mpe-12-000017,Mpyg-2-000084,Spar-4-000016,Tar-4-002752,,,
Aara-7-001436,.,Aha-4-000016,Alsp-4-000017,.,Aru-b04-002327,Asu-2-001229,Asu-9-000021,Ath-2-001410,.,Bst-4-000019,Cen-7-002876,Cen-10-002858,Cfle-4-002874,Chivh-2-004907,Cla-7-02626,Cne-2-003903,Cpl-320-000018,Crub-4-000013,Csa-9-003569,Csa-7-002985,Csa-16-002834,Eche-7-002248,Esal-3-000021,Iind-5-003164,Mpe-12-000018,Mpyg-2-000082,Spar-4-000018,Tar-4-002751,,,
