ACBK1g00001,Tar-1-004059
ACBK1g00002,Tar-1-004060
ACBK1g00003,Tar-1-004061
ACBK1g00004,Tar-1-004062
ACBK1g00005,.
ACBK1g00006,.
ACBK1g00007,Tar-1-004063
ACBK1g00008,Tar-1-004064
ACBK1g00009,Tar-1-004057
ACBK1g00010,Tar-1-004056
ACBK1g00011,Tar-1-004055
ACBK1g00012,Tar-1-004053
ACBK1g00013,Tar-1-004052
ACBK1g00014,.
ACBK1g00015,Tar-1-004051
ACBK1g00016,Tar-1-004050
ACBK1g00017,Tar-1-004049
ACBK1g00018,.
ACBK1g00019,Tar-1-004048
ACBK1g00020,Tar-1-004047
ACBK1g00021,.
ACBK1g00022,Tar-1-004045
ACBK1g00023,Tar-1-004043
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,.
ACBK1g00027,Tar-1-004042
ACBK1g00028,Tar-1-004041
ACBK1g00029,Tar-1-004039
ACBK1g00030,Tar-1-004038
ACBK1g00031,Tar-1-004036
ACBK1g00032,Tar-1-004034
ACBK1g00033,Tar-1-004033
ACBK1g00034,Tar-1-004032
ACBK1g00035,Tar-1-004031
ACBK1g00036,Tar-1-004030
ACBK1g00037,.
ACBK1g00038,Tar-1-004029
ACBK1g00039,.
ACBK1g00040,Tar-1-004026
ACBK1g00041,Tar-1-004023
ACBK1g00042,Tar-1-004022
ACBK1g00043,Tar-1-004021
ACBK1g00044,Tar-1-004020
ACBK1g00045,Tar-1-004019
ACBK1g00046,Tar-1-004017
ACBK1g00047,Tar-1-004016
ACBK1g00048,Tar-1-004015
ACBK1g00049,Tar-1-004014
ACBK1g00050,Tar-1-004013
ACBK1g00051,Tar-1-004012
ACBK1g00052,.
ACBK1g00053,Tar-1-004011
ACBK1g00054,Tar-1-004010
ACBK1g00055,Tar-1-004009
ACBK1g00056,.
ACBK1g00057,Tar-1-004007
ACBK1g00058,Tar-1-004006
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Tar-1-004004
ACBK1g00064,Tar-1-004002
ACBK1g00065,.
ACBK1g00066,Tar-1-004000
ACBK1g00067,Tar-1-003996
ACBK1g00068,.
ACBK1g00069,Tar-1-003995
ACBK1g00070,Tar-1-003994
ACBK1g00071,Tar-1-003993
ACBK1g00072,Tar-1-003992
ACBK1g00073,Tar-1-003991
ACBK1g00074,Tar-1-003990
ACBK1g00075,.
ACBK1g00076,Tar-1-003989
ACBK1g00077,Tar-1-003988
ACBK1g00078,Tar-1-003987
ACBK1g00079,Tar-1-003986
ACBK1g00080,Tar-1-003985
ACBK1g00081,Tar-1-003984
ACBK1g00082,Tar-1-003982
ACBK1g00083,Tar-1-003981
ACBK1g00084,Tar-1-003980
ACBK1g00085,Tar-1-003979
ACBK1g00086,Tar-1-003978
ACBK1g00087,Tar-1-003974
ACBK1g00088,Tar-1-003973
ACBK1g00089,Tar-1-003972
ACBK1g00090,.
ACBK1g00091,Tar-1-003971
ACBK1g00092,.
ACBK1g00093,Tar-1-003969
ACBK1g00094,Tar-1-003968
ACBK1g00095,Tar-1-003967
ACBK1g00096,Tar-1-003964
ACBK1g00097,Tar-1-003962
ACBK1g00098,Tar-1-003961
ACBK1g00099,.
ACBK1g00100,Tar-1-003960
ACBK1g00101,.
ACBK1g00102,Tar-1-003958
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Tar-1-003957
ACBK1g00107,Tar-1-003956
ACBK1g00108,Tar-1-003955
ACBK1g00109,Tar-1-003954
ACBK1g00110,Tar-1-003953
ACBK1g00111,Tar-1-003952
ACBK1g00112,Tar-1-003951
ACBK1g00113,Tar-1-003949
ACBK1g00114,Tar-1-003948
ACBK1g00115,Tar-1-003947
ACBK1g00116,.
ACBK1g00117,Tar-1-003946
ACBK1g00118,Tar-1-003945
ACBK1g00119,Tar-1-003944
ACBK1g00120,Tar-1-003943
ACBK1g00121,.
ACBK1g00122,Tar-1-003942
ACBK1g00123,Tar-1-003941
ACBK1g00124,Tar-1-003939
ACBK1g00125,Tar-1-003938
ACBK1g00126,.
ACBK1g00127,Tar-1-003937
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Tar-1-003936
ACBK1g00131,Tar-1-003935
ACBK1g00132,Tar-1-003934
ACBK1g00133,Tar-1-003933
ACBK1g00134,Tar-1-003932
ACBK1g00135,.
ACBK1g00136,Tar-1-003931
ACBK1g00137,Tar-1-003930
ACBK1g00138,Tar-1-003929
ACBK1g00139,Tar-1-003928
ACBK1g00140,.
ACBK1g00141,Tar-1-003927
ACBK1g00142,.
ACBK1g00143,Tar-1-003925
ACBK1g00144,Tar-1-003923
ACBK1g00145,Tar-1-003922
ACBK1g00146,.
ACBK1g00147,Tar-1-003920
ACBK1g00148,Tar-1-003919
ACBK1g00149,Tar-1-003918
ACBK1g00150,Tar-1-003916
ACBK1g00151,.
ACBK1g00152,Tar-1-003915
ACBK1g00153,.
ACBK1g00154,.
ACBK1g00155,Tar-1-003914
ACBK1g00156,Tar-1-003913
ACBK1g00157,Tar-1-003912
ACBK1g00158,Tar-1-003911
ACBK1g00159,Tar-1-003910
ACBK1g00160,Tar-1-003909
ACBK1g00161,.
ACBK1g00162,Tar-1-003908
ACBK1g00163,Tar-1-003907
ACBK1g00164,.
ACBK1g00165,Tar-1-003906
ACBK1g00166,.
ACBK1g00167,Tar-1-003905
ACBK1g00168,Tar-1-003904
ACBK1g00169,Tar-1-003903
ACBK1g00170,Tar-1-003902
ACBK1g00171,Tar-1-003901
ACBK1g00172,Tar-1-003900
ACBK1g00173,.
ACBK1g00174,Tar-1-003899
ACBK1g00175,.
ACBK1g00176,.
ACBK1g00177,Tar-1-003898
ACBK1g00178,Tar-1-003897
ACBK1g00179,.
ACBK1g00180,Tar-1-003896
ACBK1g00181,Tar-1-003895
ACBK1g00182,Tar-1-003893
ACBK1g00183,.
ACBK1g00184,Tar-1-003892
ACBK1g00185,.
ACBK1g00186,Tar-1-003891
ACBK1g00187,Tar-1-003890
ACBK1g00188,.
ACBK1g00189,.
ACBK1g00190,.
ACBK1g00191,Tar-1-003889
ACBK1g00192,Tar-1-003888
ACBK1g00193,Tar-1-003887
ACBK1g00194,.
ACBK1g00195,Tar-1-003886
ACBK1g00196,.
ACBK1g00197,Tar-1-003884
ACBK1g00198,Tar-1-003883
ACBK1g00199,.
ACBK1g00200,.
ACBK1g00201,.
ACBK1g00202,.
ACBK1g00203,Tar-1-003882
ACBK1g00204,Tar-1-003881
ACBK1g00205,Tar-1-003880
ACBK1g00206,Tar-1-003879
ACBK1g00207,Tar-1-003874
ACBK1g00208,Tar-1-003873
ACBK1g00209,Tar-1-003872
ACBK1g00210,Tar-1-003871
ACBK1g00211,Tar-1-003870
ACBK1g00212,.
ACBK1g00213,Tar-1-003867
ACBK1g00214,Tar-1-003866
ACBK1g00215,Tar-1-003865
ACBK1g00216,Tar-1-003864
ACBK1g00217,Tar-1-003863
ACBK1g00218,Tar-1-003862
ACBK1g00219,Tar-1-003861
ACBK1g00220,.
ACBK1g00221,.
ACBK1g00222,.
ACBK1g00223,Tar-1-003860
ACBK1g00224,Tar-1-003859
ACBK1g00225,.
ACBK1g00226,Tar-1-003858
ACBK1g00227,Tar-1-003856
ACBK1g00228,.
ACBK1g00229,Tar-1-003855
ACBK1g00230,Tar-1-003854
ACBK1g00231,Tar-1-003853
ACBK1g00232,Tar-1-003852
ACBK1g00233,Tar-1-003851
ACBK1g00234,.
ACBK1g00235,Tar-1-003849
ACBK1g00236,.
ACBK1g00237,Tar-1-003847
ACBK1g00238,Tar-1-003845
ACBK1g00239,Tar-1-003842
ACBK1g00240,Tar-1-003841
ACBK1g00241,.
ACBK1g00242,Tar-1-003840
ACBK1g00243,Tar-1-003839
ACBK1g00244,Tar-1-003838
ACBK1g00245,.
ACBK1g00246,.
ACBK1g00247,Tar-1-003837
ACBK1g00248,Tar-1-003836
ACBK1g00249,Tar-1-003835
ACBK1g00250,Tar-1-003833
ACBK1g00251,Tar-1-003832
ACBK1g00252,Tar-1-003831
ACBK1g00253,.
ACBK1g00254,.
ACBK1g00255,.
ACBK1g00256,Tar-1-003829
ACBK1g00257,.
ACBK1g00258,Tar-1-003828
ACBK1g00259,.
ACBK1g00260,Tar-1-003826
ACBK1g00261,.
ACBK1g00262,Tar-1-003825
ACBK1g00263,Tar-1-003824
ACBK1g00264,Tar-1-003823
ACBK1g00265,Tar-1-003822
ACBK1g00266,Tar-1-003821
ACBK1g00267,.
ACBK1g00268,.
