ACBK1g00001,Aare-1-000009
ACBK1g00002,.
ACBK1g00003,Aare-1-000007
ACBK1g00004,.
ACBK1g00005,Aare-1-000005
ACBK1g00006,Aare-1-000004
ACBK1g00007,Aare-1-000003
ACBK1g00008,Aare-1-000001
ACBK1g00009,.
ACBK1g00010,.
ACBK1g00011,Aare-1-000013
ACBK1g00012,Aare-1-000015
ACBK1g00013,.
ACBK1g00014,Aare-1-000016
ACBK1g00015,.
ACBK1g00016,Aare-1-000017
ACBK1g00017,Aare-1-000019
ACBK1g00018,Aare-1-000020
ACBK1g00019,Aare-1-000021
ACBK1g00020,.
ACBK1g00021,Aare-1-000022
ACBK1g00022,.
ACBK1g00023,Aare-1-000023
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Aare-1-000024
ACBK1g00027,Aare-1-000025
ACBK1g00028,Aare-1-000026
ACBK1g00029,.
ACBK1g00030,Aare-1-000031
ACBK1g00031,Aare-1-000033
ACBK1g00032,Aare-1-000034
ACBK1g00033,Aare-1-000035
ACBK1g00034,Aare-1-000036
ACBK1g00035,.
ACBK1g00036,.
ACBK1g00037,.
ACBK1g00038,.
ACBK1g00039,.
ACBK1g00040,Aare-1-000041
ACBK1g00041,Aare-1-000042
ACBK1g00042,.
ACBK1g00043,Aare-1-000044
ACBK1g00044,.
ACBK1g00045,Aare-1-000045
ACBK1g00046,Aare-1-000047
ACBK1g00047,.
ACBK1g00048,.
ACBK1g00049,.
ACBK1g00050,Aare-1-000051
ACBK1g00051,.
ACBK1g00052,.
ACBK1g00053,Aare-1-000054
ACBK1g00054,.
ACBK1g00055,.
ACBK1g00056,Aare-1-000057
ACBK1g00057,Aare-1-000058
ACBK1g00058,Aare-1-000059
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Aare-1-000061
ACBK1g00064,Aare-1-000062
ACBK1g00065,Aare-1-000063
ACBK1g00066,.
ACBK1g00067,.
ACBK1g00068,Aare-1-000066
ACBK1g00069,Aare-1-000067
ACBK1g00070,Aare-1-000068
ACBK1g00071,Aare-1-000069
ACBK1g00072,Aare-1-000070
ACBK1g00073,Aare-1-000071
ACBK1g00074,Aare-1-000072
ACBK1g00075,.
ACBK1g00076,.
ACBK1g00077,Aare-1-000074
ACBK1g00078,Aare-1-000075
ACBK1g00079,Aare-1-000076
ACBK1g00080,Aare-1-000077
ACBK1g00081,Aare-1-000078
ACBK1g00082,Aare-1-000079
ACBK1g00083,.
ACBK1g00084,.
ACBK1g00085,Aare-1-000083
ACBK1g00086,.
ACBK1g00087,.
ACBK1g00088,.
ACBK1g00089,Aare-1-000088
ACBK1g00090,.
ACBK1g00091,Aare-1-000090
ACBK1g00092,Aare-1-000091
ACBK1g00093,.
ACBK1g00094,Aare-1-000093
ACBK1g00095,Aare-1-000094
ACBK1g00096,Aare-1-000095
ACBK1g00097,Aare-1-000098
ACBK1g00098,Aare-1-000100
ACBK1g00099,.
ACBK1g00100,Aare-1-000101
ACBK1g00101,Aare-1-000102
ACBK1g00102,Aare-1-000103
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Aare-1-000104
ACBK1g00107,Aare-1-000105
ACBK1g00108,Aare-1-000106
ACBK1g00109,Aare-1-000107
ACBK1g00110,Aare-1-000108
ACBK1g00111,Aare-1-000109
ACBK1g00112,Aare-1-000110
ACBK1g00113,.
ACBK1g00114,Aare-1-000112
ACBK1g00115,.
ACBK1g00116,Aare-1-000114
ACBK1g00117,Aare-1-000115
ACBK1g00118,Aare-1-000116
ACBK1g00119,.
ACBK1g00120,Aare-1-000117
ACBK1g00121,.
ACBK1g00122,Aare-1-000119
ACBK1g00123,Aare-1-000120
