ACBK1g00001,Chivh-1-000008
ACBK1g00002,Chivh-1-000007
ACBK1g00003,Chivh-1-000006
ACBK1g00004,Chivh-1-000005
ACBK1g00005,.
ACBK1g00006,.
ACBK1g00007,Chivh-1-000003
ACBK1g00008,Chivh-1-000001
ACBK1g00009,Chivh-1-000009
ACBK1g00010,Chivh-1-000010
ACBK1g00011,Chivh-1-000011
ACBK1g00012,Chivh-1-000013
ACBK1g00013,Chivh-1-000014
ACBK1g00014,.
ACBK1g00015,Chivh-1-000016
ACBK1g00016,Chivh-1-000018
ACBK1g00017,Chivh-1-000019
ACBK1g00018,Chivh-1-000020
ACBK1g00019,Chivh-1-000021
ACBK1g00020,.
ACBK1g00021,Chivh-1-000022
ACBK1g00022,Chivh-1-000026
ACBK1g00023,Chivh-1-000027
ACBK1g00024,.
ACBK1g00025,.
ACBK1g00026,Chivh-1-000029
ACBK1g00027,Chivh-1-000034
ACBK1g00028,Chivh-1-000035
ACBK1g00029,Chivh-1-000039
ACBK1g00030,.
ACBK1g00031,Chivh-1-000042
ACBK1g00032,Chivh-1-000043
ACBK1g00033,.
ACBK1g00034,Chivh-1-000045
ACBK1g00035,.
ACBK1g00036,Chivh-1-000046
ACBK1g00037,.
ACBK1g00038,Chivh-1-000047
ACBK1g00039,.
ACBK1g00040,Chivh-1-000050
ACBK1g00041,.
ACBK1g00042,.
ACBK1g00043,.
ACBK1g00044,.
ACBK1g00045,Chivh-1-000054
ACBK1g00046,.
ACBK1g00047,Chivh-1-000057
ACBK1g00048,Chivh-1-000059
ACBK1g00049,.
ACBK1g00050,.
ACBK1g00051,Chivh-1-000060
ACBK1g00052,Chivh-1-000061
ACBK1g00053,Chivh-1-000062
ACBK1g00054,Chivh-1-000074
ACBK1g00055,.
ACBK1g00056,Chivh-1-000076
ACBK1g00057,Chivh-1-000077
ACBK1g00058,Chivh-1-000078
ACBK1g00059,.
ACBK1g00060,.
ACBK1g00061,.
ACBK1g00062,.
ACBK1g00063,Chivh-1-000080
ACBK1g00064,Chivh-1-000082
ACBK1g00065,Chivh-1-000083
ACBK1g00066,Chivh-1-000084
ACBK1g00067,Chivh-1-000085
ACBK1g00068,Chivh-1-000086
ACBK1g00069,Chivh-1-000087
ACBK1g00070,Chivh-1-000088
ACBK1g00071,Chivh-1-000089
ACBK1g00072,Chivh-1-000090
ACBK1g00073,Chivh-1-000091
ACBK1g00074,Chivh-1-000092
ACBK1g00075,.
ACBK1g00076,Chivh-1-000095
ACBK1g00077,.
ACBK1g00078,Chivh-1-000097
ACBK1g00079,Chivh-1-000098
ACBK1g00080,.
ACBK1g00081,Chivh-1-000100
ACBK1g00082,Chivh-1-000101
ACBK1g00083,Chivh-1-000102
ACBK1g00084,.
ACBK1g00085,Chivh-1-000104
ACBK1g00086,Chivh-1-000105
ACBK1g00087,Chivh-1-000106
ACBK1g00088,Chivh-1-000107
ACBK1g00089,Chivh-1-000109
ACBK1g00090,Chivh-1-000110
ACBK1g00091,Chivh-1-000111
ACBK1g00092,Chivh-1-000112
ACBK1g00093,Chivh-1-000113
ACBK1g00094,Chivh-1-000114
ACBK1g00095,Chivh-1-000115
ACBK1g00096,.
ACBK1g00097,Chivh-1-000117
ACBK1g00098,.
ACBK1g00099,.
ACBK1g00100,Chivh-1-000120
ACBK1g00101,Chivh-1-000121
ACBK1g00102,.
ACBK1g00103,.
ACBK1g00104,.
ACBK1g00105,.
ACBK1g00106,Chivh-1-000123
ACBK1g00107,Chivh-1-000124
ACBK1g00108,Chivh-1-000133
ACBK1g00109,Chivh-1-000134
ACBK1g00110,Chivh-1-000135
ACBK1g00111,Chivh-1-000136
ACBK1g00112,.
ACBK1g00113,Chivh-1-000138
ACBK1g00114,Chivh-1-000139
ACBK1g00115,.
ACBK1g00116,Chivh-1-000141
ACBK1g00117,Chivh-1-000142
ACBK1g00118,Chivh-1-000144
ACBK1g00119,.
ACBK1g00120,Chivh-1-000145
ACBK1g00121,.
ACBK1g00122,Chivh-1-000148
ACBK1g00123,Chivh-1-000149
ACBK1g00124,Chivh-1-000150
ACBK1g00125,Chivh-1-000151
ACBK1g00126,.
ACBK1g00127,Chivh-1-000153
ACBK1g00128,.
ACBK1g00129,.
ACBK1g00130,Chivh-1-000154
ACBK1g00131,.
ACBK1g00132,Chivh-1-000155
ACBK1g00133,Chivh-1-000157
